,product,uf,volume,year_month,unit,created_at
183,ÓLEO DIESEL S-500 (m3),SANTA CATARINA,138683.52,2014-01-01,m3,2021-11-19 10:40:49
184,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO SUL,249793.122,2014-01-01,m3,2021-11-19 10:40:49
185,ÓLEO DIESEL S-500 (m3),MATO GROSSO DO SUL,108645.1,2014-01-01,m3,2021-11-19 10:40:49
186,ÓLEO DIESEL S-500 (m3),MATO GROSSO,205202.443,2014-01-01,m3,2021-11-19 10:40:49
187,ÓLEO DIESEL S-500 (m3),GOIÁS,245885.068,2014-01-01,m3,2021-11-19 10:40:49
188,ÓLEO DIESEL S-500 (m3),DISTRITO FEDERAL,23053.277,2014-01-01,m3,2021-11-19 10:40:49
189,ÓLEO DIESEL S-1800 (m3),RONDÔNIA,0.0,2014-01-01,m3,2021-11-19 10:40:49
190,ÓLEO DIESEL S-1800 (m3),ACRE,0.0,2014-01-01,m3,2021-11-19 10:40:49
191,ÓLEO DIESEL S-1800 (m3),AMAZONAS,64226.892,2014-01-01,m3,2021-11-19 10:40:49
192,ÓLEO DIESEL S-1800 (m3),RORAIMA,0.0,2014-01-01,m3,2021-11-19 10:40:49
193,ÓLEO DIESEL S-1800 (m3),PARÁ,5560.815,2014-01-01,m3,2021-11-19 10:40:49
194,ÓLEO DIESEL S-1800 (m3),AMAPÁ,0.0,2014-01-01,m3,2021-11-19 10:40:49
195,ÓLEO DIESEL S-1800 (m3),TOCANTINS,20.0,2014-01-01,m3,2021-11-19 10:40:49
196,ÓLEO DIESEL S-1800 (m3),MARANHÃO,0.0,2014-01-01,m3,2021-11-19 10:40:49
197,ÓLEO DIESEL S-1800 (m3),PIAUÍ,0.0,2014-01-01,m3,2021-11-19 10:40:49
198,ÓLEO DIESEL S-1800 (m3),CEARÁ,0.0,2014-01-01,m3,2021-11-19 10:40:49
199,ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO NORTE,0.0,2014-01-01,m3,2021-11-19 10:40:49
200,ÓLEO DIESEL S-1800 (m3),PARAÍBA,0.0,2014-01-01,m3,2021-11-19 10:40:49
201,ÓLEO DIESEL S-1800 (m3),PERNAMBUCO,0.0,2014-01-01,m3,2021-11-19 10:40:49
202,ÓLEO DIESEL S-1800 (m3),ALAGOAS,0.0,2014-01-01,m3,2021-11-19 10:40:49
203,ÓLEO DIESEL S-1800 (m3),SERGIPE,0.0,2014-01-01,m3,2021-11-19 10:40:49
204,ÓLEO DIESEL S-1800 (m3),BAHIA,0.0,2014-01-01,m3,2021-11-19 10:40:49
205,ÓLEO DIESEL S-1800 (m3),MINAS GERAIS,2658.18,2014-01-01,m3,2021-11-19 10:40:49
206,ÓLEO DIESEL S-1800 (m3),ESPÍRITO SANTO,0.0,2014-01-01,m3,2021-11-19 10:40:49
207,ÓLEO DIESEL S-1800 (m3),RIO DE JANEIRO,931.017,2014-01-01,m3,2021-11-19 10:40:49
208,ÓLEO DIESEL S-1800 (m3),SÃO PAULO,217410.257,2014-01-01,m3,2021-11-19 10:40:49
209,ÓLEO DIESEL S-1800 (m3),PARANÁ,0.0,2014-01-01,m3,2021-11-19 10:40:49
210,ÓLEO DIESEL S-1800 (m3),SANTA CATARINA,0.0,2014-01-01,m3,2021-11-19 10:40:49
211,ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO SUL,0.0,2014-01-01,m3,2021-11-19 10:40:49
212,ÓLEO DIESEL S-1800 (m3),MATO GROSSO DO SUL,0.0,2014-01-01,m3,2021-11-19 10:40:49
213,ÓLEO DIESEL S-1800 (m3),MATO GROSSO,1155.24,2014-01-01,m3,2021-11-19 10:40:49
214,ÓLEO DIESEL S-1800 (m3),GOIÁS,673.95,2014-01-01,m3,2021-11-19 10:40:49
215,ÓLEO DIESEL S-1800 (m3),DISTRITO FEDERAL,0.0,2014-01-01,m3,2021-11-19 10:40:49
216,ÓLEO DIESEL MARÍTIMO (m3),RONDÔNIA,842.4,2014-01-01,m3,2021-11-19 10:40:49
217,ÓLEO DIESEL MARÍTIMO (m3),ACRE,55.0,2014-01-01,m3,2021-11-19 10:40:49
218,ÓLEO DIESEL MARÍTIMO (m3),AMAZONAS,10470.421,2014-01-01,m3,2021-11-19 10:40:49
219,ÓLEO DIESEL MARÍTIMO (m3),RORAIMA,0.0,2014-01-01,m3,2021-11-19 10:40:49
220,ÓLEO DIESEL MARÍTIMO (m3),PARÁ,6713.9,2014-01-01,m3,2021-11-19 10:40:49
221,ÓLEO DIESEL MARÍTIMO (m3),AMAPÁ,1754.0,2014-01-01,m3,2021-11-19 10:40:49
222,ÓLEO DIESEL MARÍTIMO (m3),TOCANTINS,0.0,2014-01-01,m3,2021-11-19 10:40:49
223,ÓLEO DIESEL MARÍTIMO (m3),MARANHÃO,119.0,2014-01-01,m3,2021-11-19 10:40:49
224,ÓLEO DIESEL MARÍTIMO (m3),PIAUÍ,255.0,2014-01-01,m3,2021-11-19 10:40:49
225,ÓLEO DIESEL MARÍTIMO (m3),CEARÁ,895.0,2014-01-01,m3,2021-11-19 10:40:49
226,ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO NORTE,530.0,2014-01-01,m3,2021-11-19 10:40:49
227,ÓLEO DIESEL MARÍTIMO (m3),PARAÍBA,78.0,2014-01-01,m3,2021-11-19 10:40:49
228,ÓLEO DIESEL MARÍTIMO (m3),PERNAMBUCO,627.0,2014-01-01,m3,2021-11-19 10:40:49
229,ÓLEO DIESEL MARÍTIMO (m3),ALAGOAS,35.0,2014-01-01,m3,2021-11-19 10:40:49
230,ÓLEO DIESEL MARÍTIMO (m3),SERGIPE,125.0,2014-01-01,m3,2021-11-19 10:40:49
231,ÓLEO DIESEL MARÍTIMO (m3),BAHIA,1471.0,2014-01-01,m3,2021-11-19 10:40:49
232,ÓLEO DIESEL MARÍTIMO (m3),MINAS GERAIS,0.0,2014-01-01,m3,2021-11-19 10:40:49
233,ÓLEO DIESEL MARÍTIMO (m3),ESPÍRITO SANTO,4592.052,2014-01-01,m3,2021-11-19 10:40:49
